дебажить,"заниматься отладкой кода, искать причины проблем с помощью программы - от слов debug, debugger"
деплой,"развернуть-выложить новую версию приложения - от слова deploy"
пофиксить,"найти и устранить проблему или ошибку в работе программы - от слова fix"
прикрутить,"настроить использование в своем приложении чужого кода, подпрограммы"
расширение,"подпрограмма выполняемая в рамках другой, более значимой"
засетить,"сохранить какие-либо данные в определенное хранилищи - от слова set"
запушить,"выложить свои наработки в репозиторий - от команды push из git"
запулить,"загрузить к себе обновления из репозитория - от команды pull из git"
комит,"фиксация изменений в git"
"пул реквест","просьба к владельцу репозитория принять свои изменения в его коде - в рамках git"
заинвайтить,"пригласить кого-то куда-то"
скрин,"снимок экрана устройства - от слова screen"
накатить,"применить изменения к чему-то"
откатить,"отменить изменения примененные ранее"
"бой, продакшн","главная версия приложения-сайта, которой пользуются пользователи - от слова production"
релиз,"версия приложения - от слова realise"
тестить,"проверять на выполнение или наличие ошибок"
пробить,"узнать что-то, разведать-проверить"
расшарить,"выложить файл в общий доступ"
девел,"рабочая версия приложения-сайта-сервера на котором программисты реализуют задачи - от слова development"
инстанс,"экземпляр чего-либо, чаще всего сайта - от слова instance"
репозиторий,"хранилище - от слова repository"
брекпойнт,"точка останова в программе при дибаггинге - от слова breakpoint"
фронтенд,"то что видит обычный пользователь и функционал отвечающий за работу с интерфейсом - от слова frontend"
бэкэнд,"административная часть и фоновый функционал - от слова backend"
просбросить,"передать информацию или данные через что-то"
миграция,"файл-процесс выполняемый, обычно, в консоли и реализующий некие задачи с одновременной записью об этом в определенную таблицу базы данных"
синхрониировать,"привести файлы-данные в нескольких местах к единому виду"
"отэкстендиться,расширить","унаследовать свой класс от другого (ООП) - от слова extends"
"хардкод,хардкодить","очень неправильный код или программирование, очевидное неумение"
кодер,"неумелый программист, который не хочет становиться лучше"
сбросить,"отменить изменения"
отвалилось,"что-то пошло не так, произошла ошибка"
пингануть,"в консоли проверить отклик сайта или IP-адреса, воспользоваться командой ping"
баг,"ошибка, проблемный участок кода"
чекнуть,"проверить и подтвердить"
"танцы с бубнами","что-то долго делать нетривиальным и ли непривычным способом"
